Sort order,Dog_Name,Dog_Breed,Location_masked,Latitude_masked,Latitude_masked,Longitude_masked,Neighborhood,
1705,Shakira,Labrador Retriever Mix,"(42.40213, -71.15302706)","42.40213, -",42.40213,-71.15302706,North Cambridge,
1140,Fudge,Golden Retriever,"(42.37875, -71.11422002)","42.37875, -",42.37875,-71.11422002,Agassiz,
3222,Duro,Siberian Husky,"(42.37239, -71.10998146)","42.37239, -",42.37239,-71.10998146,Mid-Cambridge,
2928,Toby,Newfoundland,"(42.35434, -71.10722227)","42.35434, -",42.35434,-71.10722227,Cambridgeport,
2165,Simba,Australian Cattle Dog Mix,"(42.398899, -71.13553879)","42.398899, ",42.398899,-71.13553879,North Cambridge,
1691,Tanner,Vizsla,"(42.398009, -71.13281739)","42.398009, ",42.398009,-71.13281739,North Cambridge,
3726,Lil Bear,Bichon Frise,"(42.397098, -71.13044531)","42.397098, ",42.397098,-71.13044531,North Cambridge,
4104,Buddy,Spaniel,"(42.396061, -71.1282285)","42.396061, ",42.396061,-71.1282285,North Cambridge,
2664,Baxter,Labrador Retriever Mix,"(42.394117, -71.13161373)","42.394117, ",42.394117,-71.13161373,North Cambridge,
393,Goofy,Saluki-Mix,"(42.392211, -71.14471254)","42.392211, ",42.392211,-71.14471254,Cambridge Highlands,
4875,Henry,Dachshund,"(42.390978, -71.11861057)","42.390978, ",42.390978,-71.11861057,North Cambridge,
4925,Fenris,ALASKAN MALAMUTE,"(42.388697, -71.13829458)","42.388697, ",42.388697,-71.13829458,Neighborhood Nine,
2452,Travis,Golden Retriever,"(42.388583, -71.13863129)","42.388583, ",42.388583,-71.13863129,Neighborhood Nine,
2811,Rosie,Miniature Poodle,"(42.387715, -71.12087839)","42.387715, ",42.387715,-71.12087839,Neighborhood Nine,
1987,Bella,Chihuahua,"(42.387626, -71.13126773)","42.387626, ",42.387626,-71.13126773,Neighborhood Nine,
5023,Theodore,Cavalier King Charles Spaniel,"(42.385883, -71.13563662)","42.385883, ",42.385883,-71.13563662,Neighborhood Nine,
3946,Abby,Labrador Retriever,"(42.385446, -71.13954594)","42.385446, ",42.385446,-71.13954594,Neighborhood Nine,
